,Mean,Std Dev,Mean_minus_1_std_dev,Mean_plus_1_std_dev,annual_rewards_in_USD,NPV,30 Day Predicted Rewards High in HNT,30 Day Predicted Rewards Middle in HNT,30 Day Predicted Rewards Low in HNT,30 Day Predicted Rewards High in USD,30 Day Predicted Rewards Middle in USD,30 Day Predicted Rewards Low in USD,60 Day Predicted Rewards High in HNT,60 Day Predicted Rewards Middle in HNT,60 Day Predicted Rewards Low in HNT,60 Day Predicted Rewards High in USD,60 Day Predicted Rewards Middle in USD,60 Day Predicted Rewards Low in USD,90 Day Predicted Rewards High in HNT,90 Day Predicted Rewards Middle in HNT,90 Day Predicted Rewards Low in HNT,90 Day Predicted Rewards High in USD,90 Day Predicted Rewards Middle in USD,90 Day Predicted Rewards Low in USD
obedient_metal_eel,0.4693374873333333,0.2369749272866027,0.23236256004673062,0.706312414619936,3558.9917398313282,8897.47934957832,21.18937243859808,14.08012462,6.970876801401919,440.21715842653964,292.5198690272325,144.8225796279254,42.37874487719616,28.16024924,13.941753602803837,880.4343168530793,585.039738054465,289.6451592558508,63.56811731579424,42.24037386,20.912630404205757,1320.6514752796188,877.5596070816974,434.4677388837762
striped_teal_baboon,0.10593079133333333,0.04306497494270623,0.0628658163906271,0.14899576627603955,803.2744486088137,2008.1861215220342,4.469872988281186,3.1779237399999998,1.8859744917188133,92.86328753391226,66.0225574199025,39.18182730589274,8.939745976562373,6.3558474799999995,3.7719489834376265,185.7265750678245,132.045114839805,78.36365461178548,13.40961896484356,9.53377122,5.65792347515644,278.5898626017368,198.0676722597075,117.54548191767822
huge_emerald_griffin,0.242227924,0.14737324618432449,0.09485467781567553,0.3896011701843245,1836.8172241485977,4592.043060371494,11.688035105529735,7.266837720000001,2.8456403344702657,242.82331233054484,150.971278697145,59.1192450637452,23.37607021105947,14.533675440000001,5.691280668940531,485.6466246610897,301.94255739429,118.2384901274904,35.064105316589206,21.80051316,8.536921003410797,728.4699369916345,452.91383609143503,177.35773519123558
wide_beige_hornet,0.2804839346666667,0.10286300550339408,0.17762092916327263,0.38334694017006077,2126.913007324058,5317.282518310145,11.500408205101824,8.41451804,5.328627874898179,238.9252931140673,174.81476772526503,110.70424233646276,23.000816410203647,16.82903608,10.657255749796358,477.8505862281346,349.62953545053006,221.4084846729255,34.50122461530547,25.243554120000002,15.985883624694537,716.7758793422018,524.4443031757951,332.11272700938827
fast_burlap_aphid,0.18070985233333337,0.12103146262260969,0.05967838971072367,0.30174131495594303,1370.3249561731634,3425.812390432908,9.052239448678291,5.421295570000001,1.7903516913217101,188.06366913608477,112.62944845258876,37.195227769092774,18.104478897356582,10.842591140000001,3.5807033826434203,376.12733827216954,225.25889690517752,74.39045553818555,27.15671834603487,16.26388671,5.37105507396513,564.1910074082542,337.8883453577663,111.58568330727832
original_peanut_snail,0.019219722333333335,0.01964185337335061,-0.0004221310400172769,0.03886157570668394,145.7433826878694,364.3584567196735,1.1658472712005183,0.57659167,-0.012663931200518307,24.22091425191747,11.978908166126251,-0.26309791966496804,2.3316945424010367,1.15318334,-0.025327862401036613,48.44182850383494,23.957816332252502,-0.5261958393299361,3.497541813601555,1.7297750100000002,-0.03799179360155492,72.6627427557524,35.93672449837876,-0.7892937589949041
skinny_blue_sidewinder,0.1572287553333334,0.09502725216473368,0.06220150316859971,0.2522560074980671,1192.2675187841367,2980.6687969603413,7.567680224942013,4.716862660000001,1.8660450950579912,157.22139455325467,97.99459058499752,38.767786616740416,15.135360449884026,9.433725320000002,3.7320901901159824,314.44278910650934,195.98918116999505,77.53557323348083,22.70304067482604,14.150587980000005,5.598135285173973,471.66418365976403,293.9837717549926,116.30335985022124
high_beige_lobster,0.091210154,0.1075179698305026,-0.0163078158305026,0.1987281238305026,691.6476809025788,1729.119202256447,5.961843714915077,2.73630462,-0.489234474915078,123.85953886875383,56.8477545947325,-10.164029679288838,11.923687429830155,5.47260924,-0.978468949830156,247.71907773750766,113.695509189465,-20.328059358577676,17.885531144745233,8.208913860000001,-1.467703424745234,371.5786166062615,170.54326378419753,-30.492089037866517
short_carrot_lemur,0.18318896133333332,0.14523901542690937,0.03794994590642395,0.3284279767602427,1389.1240691595824,3472.810172898956,9.852839302807281,5.4956688399999996,1.1384983771927184,204.69643133055982,114.17458102681499,23.65273072307017,19.705678605614562,10.991337679999999,2.276996754385437,409.39286266111964,228.34916205362998,47.30546144614034,29.558517908421845,16.487006519999998,3.4154951315781554,614.0892939916795,342.52374308044494,70.95819216921052
puny_tan_rhino,0.08973411600000002,0.051099582176354276,0.03863453382364574,0.1408336981763543,680.4548672206276,1701.137168051569,4.225010945290629,2.6920234800000005,1.1590360147093721,87.7761867675173,55.92779730580501,24.07940784409272,8.450021890581258,5.384046960000001,2.3180720294187442,175.5523735350346,111.85559461161002,48.15881568818544,12.675032835871887,8.076070440000002,3.4771080441281166,263.3285603025519,167.78339191741506,72.23822353227817
polite_brown_cormorant,0.15851292266666667,0.11630157777836987,0.042211344888296795,0.2748145004450365,1202.00537492229,3005.013437305725,8.244435013351096,4.75538768,1.2663403466489038,171.28122906549902,98.79496232238,26.30869557926097,16.48887002670219,9.51077536,2.5326806932978077,342.56245813099804,197.58992464476,52.61739115852194,24.73330504005329,14.26616304,3.7990210399467115,513.8436871964971,296.38488696714,78.92608673778291
creamy_mango_porcupine,0.018037169999999998,0.016019817091202145,0.002017352908797853,0.03405698709120214,136.77607430139375,341.94018575348434,1.021709612736064,0.5411151,0.06052058726393559,21.226400345696508,11.2418691206625,1.257337895628486,2.043419225472128,1.0822302,0.12104117452787118,42.452800691393016,22.483738241325,2.514675791256972,3.0651288382081927,1.6233452999999998,0.18156176179180677,63.679201037089534,33.72560736198749,3.7720136868854577
trendy_caramel_dalmatian,0.5809337373333333,0.19076397889006289,0.3901697584432704,0.7716977162233962,4405.227428786797,11013.068571966991,23.150931486701886,17.428012119999998,11.705092753298112,480.9692832355392,362.07348729754494,243.17769135955078,46.30186297340377,34.856024239999996,23.410185506596225,961.9385664710784,724.1469745950899,486.35538271910156,69.45279446010566,52.284036359999995,35.11527825989434,1442.9078497066178,1086.2204618926348,729.5330740786524
clean_beige_cormorant,0.01480073466666667,0.008536489210656412,0.006264245456010257,0.02333722387732308,112.23414673605751,280.58536684014376,0.7001167163196924,0.44402204000000006,0.1879273636803077,14.54518732531023,9.224724389265,3.904261453219773,1.4002334326393848,0.8880440800000001,0.3758547273606154,29.09037465062046,18.44944877853,7.808522906439546,2.1003501489590772,1.3320661200000001,0.5637820910409231,43.63556197593069,27.674173167795004,11.712784359659318
bright_syrup_lion,0.1583387963333333,0.11122072196963309,0.04711807436370022,0.2695595183029664,1200.684972868873,3001.7124321721826,8.086785549088994,4.75016389,1.4135422309110066,168.00600232690476,98.68643612620875,29.366869925512756,16.173571098177987,9.50032778,2.8270844618220132,336.0120046538095,197.3728722524175,58.73373985102551,24.260356647266978,14.250491669999997,4.24062669273302,504.0180069807142,296.0593083786262,88.10060977653826
trendy_coal_ladybug,0.009318469000000001,0.008313052230351626,0.0010054167696483748,0.017631521230351627,70.66206108381938,176.65515270954845,0.5289456369105489,0.27955407000000004,0.030162503089451245,10.989043961430495,5.807840637026251,0.6266373126220082,1.0578912738210977,0.5591081400000001,0.06032500617890249,21.97808792286099,11.615681274052502,1.2532746252440163,1.5868369107316465,0.8386622100000001,0.09048750926835374,32.96713188429148,17.42352191107875,1.8799119378660245
future_cloth_cormorant,0.05925526899999999,0.05698948955091161,0.00226577944908838,0.1162447585509116,449.3334084833193,1123.3335212082982,3.487342756527348,1.7776580699999998,0.0679733834726514,72.45085352038934,36.931513026026245,1.412172531663135,6.974685513054696,3.5553161399999995,0.1359467669453028,144.9017070407787,73.86302605205249,2.82434506332627,10.462028269582044,5.33297421,0.2039201504179542,217.35256056116805,110.79453907807874,4.236517594989405
